participant_id,gender,ethnicity,country,age,age_prolific,age_diff,global_check,attention_check1_numeric,attention_check2_numeric,attention_check1,attention_check2,attention_check3,self_exclude,bot_check,completeness_check,age_check,completion_time_check,completion_time,desirability_poop,desirability_chocolate,classic_poop,classic_chocolate,original_poop,original_chocolate,classic_poop_pos_neg,classic_poop_pleasant_unpleasant,classic_poop_good_bad,classic_chocolate_pos_neg,classic_chocolate_pleasant_unpleasant,classic_chocolate_good_bad,original_poop_like,original_poop_attention_capturing,original_poop_unusual,original_poop_figure_out,original_poop_positive,original_poop_fixtated,original_poop_look_away,original_poop_focused,original_poop_negative,original_poop_disgusting,original_poop_appealing,original_poop_eye_catching,original_poop_attractive,original_poop_avoid_looking,original_chocolate_like,original_chocolate_attention_capturing,original_chocolate_unusual,original_chocolate_figure_out,original_chocolate_positive,original_chocolate_fixtated,original_chocolate_look_away,original_chocolate_focused,original_chocolate_negative,original_chocolate_disgusting,original_chocolate_appealing,original_chocolate_eye_catching,original_chocolate_attractive,original_chocolate_avoid_looking,pedophile,love,murder,vacation,racist,shrewd,honest,dishonest,mcdonalds,burgerking,conservatives,liberals,girls_skirts,boys_skirts,cats_legs,fish_legs
3743c,male,White,United Kingdom,30,30,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,272,1,6,2,5.666666666666667,1.5714285714285714,5.5,1,1,4,6,5,6,1,2,5,2,1,1,1,2,2,1,1,1,1,1,6,5,2,4,6,6,7,5,6,7,6,5,6,6,1,6,2,7,3,4,7,1,5,2,5,3,6,1,7,1
f0fa1,female,White,United Kingdom,51,51,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,312,1,5,1.6666666666666667,5.666666666666667,2.7142857142857144,4.857142857142857,2,1,2,6,5,6,1,6,3,1,2,6,1,5,3,1,1,6,1,1,6,5,2,5,5,3,5,4,6,6,5,5,5,6,1,6,1,6,1,5,7,2,2,2,3,5,5,1,7,1
e6734,female,White,United Kingdom,32,32,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,185,1,6,2.6666666666666665,6.333333333333333,2,4.642857142857143,3,1,4,6,7,6,1,1,2,1,1,1,3,4,6,3,1,1,1,2,5,5,1,1,5,4,7,4,7,7,5,5,5,4,1,7,1,7,1,4,7,1,5,5,4,4,5,2,7,1
038a6,male,Asian,United Kingdom,48,48,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,192,1,7,2,6.666666666666667,1.7857142857142858,5.785714285714286,1,1,4,7,7,6,1,5,1,1,2,4,1,2,1,1,1,3,1,1,6,6,1,4,6,5,7,5,7,7,7,6,7,7,1,7,1,6,2,5,7,2,3,2,4,4,7,1,7,1
3935d,female,White,United Kingdom,47,47,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,178,1,6,1.3333333333333333,6,1.7857142857142858,5.357142857142857,1,1,2,6,6,6,1,2,2,1,1,1,7,2,1,1,1,3,1,1,6,5,2,4,5,4,7,4,6,7,6,5,7,7,1,7,1,6,1,6,7,1,3,3,4,4,3,2,7,1
48fe8,female,White,United Kingdom,39,39,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,229,1,7,1,7,1.3571428571428572,6.285714285714286,1,1,1,7,7,7,1,2,2,1,2,2,1,2,1,1,1,1,1,1,7,7,1,5,7,6,7,6,7,7,7,7,7,7,1,7,1,7,1,3,7,2,5,5,5,5,5,2,7,1
5a100,male,White,United Kingdom,58,58,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,306,1,7,1,6.666666666666667,2.7857142857142856,5.714285714285714,1,1,1,6,7,7,1,7,2,1,1,1,1,1,7,7,1,7,1,1,6,6,2,6,7,2,7,4,7,7,7,6,6,7,1,7,1,7,4,7,7,1,1,3,1,1,6,1,7,1
d3cd5,male,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,155,1,7,1,7,2.357142857142857,6.142857142857143,1,1,1,7,7,7,1,6,1,1,1,4,1,7,1,1,1,6,1,1,7,7,1,4,7,5,7,7,7,7,7,6,7,7,1,7,1,7,2,6,7,2,6,6,7,1,7,1,7,1
3576f,female,White,United Kingdom,41,41,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,338,1,7,1,7,1,6.785714285714286,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,4,7,2,5,4,4,4,4,2,7,1
8253d,female,White,United Kingdom,42,42,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,419,1,7,1.3333333333333333,3,2.4285714285714284,4.214285714285714,1,1,2,3,3,3,1,7,7,2,1,1,1,4,1,1,1,5,1,1,7,5,1,1,4,4,3,4,4,7,7,4,5,3,1,7,7,7,1,4,7,1,3,3,2,4,2,1,7,1
65ff5,male,White,United Kingdom,54,54,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,414,1,6,1.6666666666666667,6.333333333333333,2.2857142857142856,5.714285714285714,2,1,2,6,7,6,1,3,6,1,1,1,7,2,2,3,1,2,1,1,6,5,2,5,5,6,7,6,7,7,6,5,6,7,1,7,1,7,1,2,7,1,5,5,2,4,7,1,7,1
1ea7a,male,White,United Kingdom,31,31,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,153,1,7,7,7,2.0714285714285716,6.142857142857143,7,7,7,7,7,7,1,7,1,1,1,1,1,1,4,1,1,7,1,1,7,7,1,5,7,5,7,5,7,7,7,7,7,7,1,7,1,7,1,4,7,1,5,5,4,4,6,4,7,1
04aa5,female,White,United Kingdom,57,57,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,323,1,7,2.3333333333333335,6.333333333333333,1.2142857142857142,4.785714285714286,2,2,3,6,6,7,1,1,2,1,1,1,1,1,2,2,1,1,1,1,6,5,2,3,6,3,4,3,7,7,6,5,5,5,1,7,1,6,1,4,7,1,6,6,4,4,6,2,7,1
5009d,male,White,United Kingdom,58,58,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,253,1,6,1.3333333333333333,6.333333333333333,2.2857142857142856,5.714285714285714,1,1,2,6,7,6,1,7,7,1,1,1,1,1,1,1,1,7,1,1,6,5,3,6,5,5,7,5,6,7,7,5,6,7,1,7,1,7,1,7,7,1,3,3,2,4,5,2,6,1
18738,female,White,United Kingdom,60,60,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,250,1,7,1.6666666666666667,7,2.2142857142857144,6.357142857142857,1,2,2,7,7,7,1,6,3,1,1,1,2,5,1,2,1,5,1,1,7,7,3,6,7,5,7,6,7,7,7,6,7,7,1,7,1,7,1,7,7,1,5,3,1,5,5,1,7,1
06bb6,female,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,349,1,7,1,7,1,6.428571428571429,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,5,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,4,7,1,6,5,4,1,1,1,5,1
645f1,male,White,United Kingdom,26,26,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,304,1,7,1,7,2.7142857142857144,4.642857142857143,1,1,1,7,7,7,1,7,7,1,1,7,1,7,1,1,1,1,1,1,5,3,1,1,5,3,7,3,7,7,5,5,6,7,1,7,1,7,1,4,7,1,6,6,1,6,7,1,7,1
