participant_id,gender,ethnicity,country,age,age_prolific,age_diff,global_check,attention_check1_numeric,attention_check2_numeric,attention_check1,attention_check2,attention_check3,self_exclude,bot_check,completeness_check,age_check,completion_time_check,completion_time,desirability_poop,desirability_chocolate,classic_poop,classic_chocolate,original_poop,original_chocolate,classic_poop_pos_neg,classic_poop_pleasant_unpleasant,classic_poop_good_bad,classic_chocolate_pos_neg,classic_chocolate_pleasant_unpleasant,classic_chocolate_good_bad,original_poop_like,original_poop_attention_capturing,original_poop_unusual,original_poop_figure_out,original_poop_positive,original_poop_fixtated,original_poop_look_away,original_poop_focused,original_poop_negative,original_poop_disgusting,original_poop_appealing,original_poop_eye_catching,original_poop_attractive,original_poop_avoid_looking,original_chocolate_like,original_chocolate_attention_capturing,original_chocolate_unusual,original_chocolate_figure_out,original_chocolate_positive,original_chocolate_fixtated,original_chocolate_look_away,original_chocolate_focused,original_chocolate_negative,original_chocolate_disgusting,original_chocolate_appealing,original_chocolate_eye_catching,original_chocolate_attractive,original_chocolate_avoid_looking,pedophile,love,murder,vacation,racist,shrewd,honest,dishonest,mcdonalds,burgerking,conservatives,liberals,girls_skirts,boys_skirts,cats_legs,fish_legs
088cf,male,White,United Kingdom,55,55,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,213,4,6,4,6,2.4285714285714284,4.357142857142857,4,4,4,6,6,6,4,2,1,1,4,1,4,1,4,4,1,2,1,4,6,4,1,1,5,1,7,1,7,7,6,4,4,7,1,5,1,6,2,5,5,3,2,2,2,4,4,3,7,1
bcae1,male,White,United Kingdom,54,54,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,212,1,7,2.3333333333333335,7,2.2857142857142856,5.642857142857143,2,2,3,7,7,7,1,4,4,2,2,3,2,2,3,2,1,3,1,2,6,6,2,5,6,4,6,5,7,7,6,6,6,7,1,7,1,7,2,5,7,1,4,3,4,4,4,2,7,1
d21b0,female,White,United Kingdom,57,57,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,175,1,7,1,7,1,5.642857142857143,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,3,3,6,4,7,5,7,7,6,6,6,7,1,7,1,7,1,5,7,1,5,4,5,5,5,3,7,1
2019a,female,White,United Kingdom,29,29,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,257,1,7,1,7,1.5714285714285714,5.142857142857143,1,1,1,7,7,7,1,3,6,1,1,1,1,1,1,1,1,2,1,1,6,5,1,2,6,3,7,4,7,7,6,5,6,7,1,7,1,7,2,3,7,1,5,5,4,5,6,1,7,1
c1b73,male,White,United Kingdom,36,36,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,271,1,7,3,7,1.7142857142857142,5.571428571428571,4,1,4,7,7,7,1,5,1,1,1,1,1,1,5,3,1,1,1,1,6,5,1,5,6,4,7,5,7,7,6,6,6,7,1,7,1,7,1,5,6,1,3,5,2,6,2,1,7,1
e8e9d,male,White,United States,37,37,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,162,1,7,2,7,2.2142857142857144,6.071428571428571,2,2,2,7,7,7,2,3,3,2,2,3,2,3,2,1,2,2,2,2,7,6,3,6,6,6,7,6,6,7,6,6,6,7,1,7,1,6,2,6,6,2,5,5,5,3,7,1,7,1
0b3c5,female,White,United Kingdom,59,59,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,282,1,7,1,7,1.4285714285714286,5.714285714285714,1,1,1,7,7,7,1,4,1,1,1,1,1,4,1,1,1,1,1,1,7,7,1,1,7,4,7,4,7,7,7,7,7,7,1,7,1,7,1,7,7,1,2,2,5,4,2,2,7,1
af70a,female,White,United Kingdom,48,48,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,337,1,7,2,7,1,6.428571428571429,1,1,4,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,7,7,5,7,7,7,7,7,7,7,7,1,7,1,7,1,4,7,1,5,5,5,5,6,1,7,1
0665d,female,White,United Kingdom,38,38,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,312,1,7,1,6.333333333333333,1.5714285714285714,4.928571428571429,1,1,1,6,7,6,1,1,1,1,1,1,1,1,4,2,1,5,1,1,6,4,1,3,6,2,6,5,7,7,6,4,5,7,1,6,1,7,1,2,7,2,5,6,4,2,5,2,6,1
7a19d,female,White,United Kingdom,64,64,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,276,4,5,4,5,2.357142857142857,4.428571428571429,4,4,4,5,5,5,4,5,1,1,1,1,4,1,4,4,1,1,1,4,5,4,1,4,4,1,7,1,7,7,5,4,5,7,1,7,1,6,1,4,7,1,3,3,1,6,5,3,7,1
9a843,female,White,United Kingdom,59,60,-1,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,241,1,6,2.6666666666666665,6,2.7142857142857144,5.5,2,2,4,6,6,6,1,7,3,2,1,2,2,2,5,3,1,6,1,2,6,5,2,5,6,4,7,5,7,7,6,5,5,7,1,7,1,7,1,6,7,2,2,2,4,3,5,2,7,1
c9126,female,White,United Kingdom,56,56,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,359,2,6,2.3333333333333335,6,2.642857142857143,4.642857142857143,2,2,3,6,6,6,1,6,2,2,2,4,2,4,2,2,1,6,1,2,5,4,2,4,6,4,4,4,6,6,5,4,5,6,2,6,2,6,2,5,6,2,4,4,4,4,4,3,6,1
f7e6a,female,Mixed,United Kingdom,34,34,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,276,1,6,2,7,2.0714285714285716,6.214285714285714,1,1,4,7,7,7,1,7,4,1,1,1,1,1,1,1,1,7,1,1,7,7,1,6,7,5,7,5,7,7,7,7,7,7,1,7,1,7,1,1,7,2,4,4,3,5,7,3,7,1
94368,female,White,United Kingdom,61,62,-1,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,260,1,7,1,7,1,5.642857142857143,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,4,7,4,7,5,7,7,6,6,6,7,1,5,1,6,2,6,7,1,1,1,1,4,5,2,7,1
7690c,female,White,United Kingdom,70,70,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,379,1,4,2,4.666666666666667,3,3.9285714285714284,1,1,4,5,5,4,1,6,1,4,3,2,3,4,4,2,1,5,2,4,3,6,2,4,3,3,3,4,4,7,3,5,4,4,1,7,1,7,2,6,7,1,3,4,5,5,5,2,7,1
d641f,female,White,United Kingdom,71,72,-1,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,481,1,7,1,6.333333333333333,1.9285714285714286,4.714285714285714,1,1,1,6,7,6,1,4,2,1,1,1,1,1,1,1,7,4,1,1,7,4,1,1,5,4,5,3,7,7,7,4,4,7,1,7,1,7,1,4,7,1,6,6,2,2,2,2,7,1
c7408,female,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,242,1,7,1.6666666666666667,6.333333333333333,1.5714285714285714,5.571428571428571,2,1,2,6,7,6,1,3,5,1,1,1,1,2,1,1,1,2,1,1,7,6,3,1,7,4,7,3,7,7,7,6,6,7,1,7,1,7,1,4,7,2,5,5,4,5,5,2,7,1
af769,male,White,United Kingdom,50,50,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,341,1,7,3,6.333333333333333,2.2142857142857144,5.857142857142857,4,1,4,6,7,6,1,5,1,1,4,1,1,2,4,2,1,4,2,2,7,6,2,7,6,4,6,5,6,7,7,6,6,7,1,7,1,7,1,5,7,1,3,3,4,4,6,1,7,1
5ed16,male,White,United Kingdom,27,27,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,282,1,7,1,7,1.4285714285714286,6.071428571428571,1,1,1,7,7,7,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,7,1,5,7,4,7,5,7,7,7,7,7,7,1,7,1,7,1,4,7,1,2,2,1,1,7,1,7,1
56353,female,White,United Kingdom,46,46,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,253,1,6,1.3333333333333333,6,2,4.928571428571429,1,1,2,6,6,6,1,3,2,2,2,1,2,4,2,1,2,2,2,2,6,3,2,2,6,4,7,4,7,7,6,4,5,6,1,7,1,6,2,5,6,2,5,5,2,2,3,1,7,1
770a3,male,White,United Kingdom,62,62,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,273,1,5,1,5,1.5,5,1,1,1,5,7,3,1,6,2,1,1,1,2,1,1,1,1,1,1,1,5,5,1,5,5,3,6,5,6,7,5,5,6,6,1,6,1,6,1,4,7,1,2,2,2,4,6,1,7,1
35d08,male,White,United Kingdom,66,66,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,259,3,6,3.6666666666666665,5.333333333333333,3.5,5.071428571428571,4,3,4,6,6,4,3,5,3,4,4,2,3,3,5,6,1,3,1,6,5,6,2,3,4,5,6,5,6,7,5,5,5,7,1,6,1,5,7,7,4,7,1,1,4,1,3,3,6,1
0730e,female,White,United Kingdom,59,59,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,376,1,7,2.3333333333333335,7,1.5714285714285714,6.5,1,1,5,7,7,7,1,1,5,1,1,1,1,5,1,1,1,1,1,1,7,7,1,7,7,6,7,7,7,7,7,7,7,7,1,7,1,7,1,4,7,1,1,2,1,2,7,1,7,1
933f7,female,White,United Kingdom,60,60,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,341,1,5,1.3333333333333333,6.333333333333333,2.5714285714285716,4.928571428571429,1,1,2,6,7,6,1,2,5,1,4,1,4,3,4,4,1,3,1,2,5,5,5,6,5,3,4,4,5,7,5,6,5,4,1,6,1,6,1,5,7,1,5,5,2,5,5,1,7,1
b7c29,male,White,United Kingdom,69,69,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,414,1,7,1.3333333333333333,6.666666666666667,2.5,5.285714285714286,1,1,2,6,7,7,1,6,5,2,1,2,2,2,2,2,1,6,1,2,6,5,3,4,5,2,7,5,7,7,6,5,5,7,1,7,1,6,2,6,6,2,3,3,5,3,6,2,7,1
743fd,female,White,United Kingdom,63,63,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,296,1,6,1,6,1,4.928571428571429,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,1,6,3,7,3,7,7,6,5,5,7,1,6,1,7,1,5,7,1,4,4,5,4,5,2,7,1
d4969,male,White,United Kingdom,39,39,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,223,1,7,1,7,1.2857142857142858,6.142857142857143,1,1,1,7,7,7,1,3,2,1,1,1,1,2,1,1,1,1,1,1,7,6,1,5,7,6,7,7,7,7,7,6,6,7,1,7,1,7,2,4,6,2,5,4,4,3,6,1,7,1
7f813,male,White,United States,69,69,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,148,1,7,1,6.333333333333333,2.0714285714285716,6.142857142857143,1,1,1,6,6,7,1,7,4,1,1,1,1,4,1,1,1,4,1,1,7,7,1,1,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,4,7,1,7,7,1,7,4,4,6,2
13c37,female,White,United Kingdom,61,61,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,242,2,7,2.6666666666666665,6.666666666666667,1.9285714285714286,5.785714285714286,2,2,4,7,7,6,1,2,2,2,1,2,2,3,3,2,1,3,1,2,6,6,2,6,6,5,7,4,6,7,6,6,7,7,1,7,1,6,1,4,7,2,2,2,1,5,5,2,7,1
4d4b5,male,White,United Kingdom,43,43,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,219,1,7,3,6.666666666666667,2,5.642857142857143,4,1,4,6,7,7,1,6,1,1,4,1,1,1,4,2,1,2,1,2,7,6,4,4,6,4,7,4,6,7,7,5,5,7,1,7,1,7,1,7,7,1,1,1,1,6,4,3,7,1
ae0dd,female,White,United Kingdom,57,57,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,227,1,7,1,7,1.8571428571428572,5.857142857142857,1,1,1,7,7,7,1,1,1,1,1,1,1,1,7,7,1,1,1,1,7,5,1,6,7,5,7,5,7,7,7,5,6,7,1,7,1,7,1,4,7,1,5,5,1,6,7,1,7,1
435b1,female,White,United Kingdom,42,42,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,262,1,7,1.6666666666666667,7,2.5714285714285716,6.357142857142857,2,1,2,7,7,7,1,3,6,5,1,3,2,2,2,1,1,1,6,2,7,7,2,6,7,5,7,6,7,7,7,7,7,7,1,7,1,6,1,4,5,3,7,3,4,4,4,2,6,1
c8695,male,White,United Kingdom,60,60,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,230,1,7,1,7,2.5714285714285716,6.571428571428571,1,1,1,7,7,7,1,7,7,1,1,5,1,4,1,1,1,4,1,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,1,5,7,1,6,6,1,3,5,2,7,1
4c038,male,White,United Kingdom,29,29,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,125,1,7,1.3333333333333333,7,1.7857142857142858,3.7142857142857144,1,1,2,7,7,7,1,5,4,1,1,3,2,2,1,1,1,1,1,1,6,5,4,1,5,3,5,5,3,3,2,5,2,3,1,7,1,7,3,4,6,3,6,4,4,4,7,2,7,1
066fe,female,White,United States,42,42,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,215,1,6,1.6666666666666667,5.666666666666667,1.5,5.642857142857143,1,1,3,6,5,6,1,2,1,1,1,2,1,5,1,1,1,2,1,1,5,6,2,1,6,7,6,6,7,7,5,7,7,7,1,6,1,7,2,2,6,1,3,3,4,3,5,1,7,1
6d375,male,White,United Kingdom,41,41,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,220,1,6,1,6,1.9285714285714286,5.357142857142857,1,1,1,6,6,6,1,7,4,1,1,1,1,1,1,1,1,5,1,1,5,6,1,4,6,2,7,5,7,7,6,6,6,7,1,7,1,7,1,4,7,1,2,2,1,5,7,1,7,1
ddb1b,male,White,United Kingdom,61,61,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,221,1,7,1,6.666666666666667,1.8571428571428572,5.357142857142857,1,1,1,6,7,7,1,5,7,1,1,1,1,3,1,1,1,1,1,1,7,5,1,1,6,2,7,4,7,7,7,7,7,7,1,7,1,7,1,7,7,1,5,5,1,1,7,1,7,1
7c5c1,female,White,United Kingdom,43,43,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,241,1,6,1.6666666666666667,6,1,4.357142857142857,2,1,2,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1,1,4,2,6,3,7,7,5,4,4,7,1,7,1,5,1,4,5,3,4,3,3,3,3,3,7,1
b573f,male,White,United Kingdom,49,49,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,214,1,7,1,7,2.2857142857142856,5.785714285714286,1,1,1,7,7,7,1,7,7,1,1,1,1,1,1,1,1,7,1,1,7,7,1,4,7,4,7,4,7,7,7,6,6,7,1,7,1,7,1,6,7,1,3,6,3,1,6,1,7,1
a0f2a,female,White,United Kingdom,45,45,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,429,1,6,3.3333333333333335,6,3.0714285714285716,4.571428571428571,4,2,4,6,6,6,1,5,3,1,3,1,6,3,5,5,1,5,1,3,6,3,1,2,5,3,7,2,7,7,6,3,5,7,1,7,1,7,2,5,7,2,5,5,2,5,5,3,7,1
a40eb,female,White,United Kingdom,66,66,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,380,1,7,1.6666666666666667,6.333333333333333,1.7857142857142858,5.571428571428571,2,1,2,6,7,6,1,2,1,1,2,1,1,2,6,1,1,4,1,1,7,7,1,5,5,5,7,5,5,7,7,5,5,7,1,7,1,6,1,5,7,1,3,3,4,4,6,2,7,1
54712,male,White,United Kingdom,38,38,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,216,1,5,1,5.666666666666667,1.8571428571428572,5.285714285714286,1,1,1,6,6,5,1,1,1,1,1,1,7,1,7,1,1,1,1,1,5,6,1,7,6,5,5,4,7,7,5,6,6,4,1,6,1,7,2,5,5,2,4,4,4,5,6,2,7,1
16892,female,White,United Kingdom,62,62,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,522,1,6,3.3333333333333335,5,1.5714285714285714,5.214285714285714,4,3,3,5,5,5,1,2,2,1,1,2,2,2,2,2,1,1,1,2,5,6,2,5,6,5,4,5,6,6,5,6,6,6,1,6,1,6,1,5,6,1,5,2,1,1,3,1,6,1
4e8f7,female,White,United Kingdom,74,74,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,297,1,7,2.6666666666666665,6.666666666666667,1.8571428571428572,6.071428571428571,2,2,4,6,7,7,1,5,1,1,1,1,1,1,2,4,1,5,1,1,7,7,1,4,7,5,7,7,7,7,7,5,7,7,1,7,1,6,1,6,7,2,3,3,4,4,5,2,7,1
cb060,male,White,United Kingdom,33,33,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,212,2,6,2.3333333333333335,6.333333333333333,3.2142857142857144,5.642857142857143,2,1,4,7,6,6,1,5,1,4,4,5,1,5,4,2,2,7,1,3,5,4,1,4,7,4,7,6,7,7,6,7,7,7,1,7,2,5,1,2,7,1,5,4,2,1,6,2,7,1
0fdf1,male,Mixed,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,242,1,7,1.3333333333333333,7,3.0714285714285716,5.857142857142857,1,1,2,7,7,7,1,7,5,2,1,5,3,4,3,1,1,6,1,3,7,6,4,5,7,6,6,5,5,7,7,6,7,4,1,6,1,7,1,5,6,2,3,4,1,5,7,1,7,1
c2e13,female,White,United Kingdom,44,44,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,213,1,7,1,7,1.2857142857142858,6.071428571428571,1,1,1,7,7,7,1,1,4,1,1,1,1,2,1,1,1,1,1,1,7,6,1,6,7,5,7,5,7,7,7,6,7,7,1,7,1,6,1,4,7,1,5,5,4,3,6,1,7,1
26e4c,female,White,United Kingdom,40,40,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,248,1,7,1,7,1,6.285714285714286,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,2,5,7,7,7,7,7,7,7,6,7,7,1,7,1,7,1,3,7,1,4,3,1,1,7,1,7,1
7e63b,female,White,United Kingdom,60,60,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,245,1,7,2.6666666666666665,7,1.6428571428571428,6.285714285714286,2,2,4,7,7,7,1,4,3,1,1,1,1,4,1,2,1,1,1,1,7,7,3,4,7,5,7,6,7,7,7,7,7,7,1,7,1,7,1,1,7,1,5,5,1,1,2,1,7,1
c866a,male,White,United Kingdom,34,34,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,243,1,7,2.6666666666666665,7,3.2142857142857144,5.928571428571429,2,2,4,7,7,7,1,6,6,4,3,4,2,5,3,2,2,4,1,2,7,7,2,3,6,4,6,6,7,7,7,7,7,7,1,7,1,7,1,4,7,1,2,2,1,1,7,2,7,1
46090,male,White,United Kingdom,47,47,0,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,203,1,6,1,6,1.8571428571428572,5.571428571428571,1,1,1,6,6,6,1,3,3,1,1,1,7,2,2,1,1,1,1,1,6,6,2,4,6,5,7,5,6,7,6,5,6,7,1,6,2,6,1,3,6,2,5,6,3,5,6,2,7,1
531bb,female,White,United Kingdom,64,66,-2,passed,1,7,passed,passed,passed,passed,passed,passed,passed,passed,222,2,6,2.6666666666666665,6,2.5714285714285716,4.714285714285714,3,2,3,6,6,6,1,4,2,1,1,4,1,5,6,6,1,2,1,1,5,5,2,2,4,3,6,4,7,7,5,5,5,6,1,7,1,5,2,4,6,2,3,3,2,3,5,3,7,1
